id,key,ingredients
2,1,"4 Boneless, Skinless Chicken Breasts"
3,1,1 Tbsp Ancho Chile Paste
4,1,2 Tbsps Crème Fraîche
5,1,3 Tbsps Golden Raisins
6,2,4 oz Cremini Mushrooms 
7,2,¾ lb Yukon Gold Potatoes
8,3,1 Piece Focaccia Bread
9,3,1 8-Ounce Can Tomato Sauce
10,3,½ lb Fresh Mozzarella Cheese
11,3,2 Clementines
12,3,2 cloves Garlic
13,3,2 Romaine Lettuce Hearts
14,3,1 lb Broccoli
15,3,1 oz Golden Or Red Sweet Piquante Peppers
16,3,2 Tbsps Crème Fraîche
17,3,1 Tbsp Dijon Mustard
18,3,½ cup Basil & Cashew Pesto (Contains Pine Nuts)
19,3,⅓ cup Shaved Parmesan Cheese
20,3,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
21,4,1½ lbs Pizza Dough
22,4,3 cloves Garlic
23,4,1 Romaine Lettuce Heart
24,4,1 lb Broccoli
25,4,1 cup Part-Skim Ricotta Cheese
26,4,1 8-Ounce Can Tomato Sauce
27,4,½ lb Fresh Mozzarella Cheese
28,4,¼ cup Grated Parmesan Cheese
29,4,2 oz Black Cerignola Olives
30,4,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram) "
31,4,1 Lemon
32,5,2 Tbsps Crème Fraîche
33,5,¼ tsp Crushed Red Pepper Flakes 
34,5,3 Tbsps All-Purpose Flour 
35,5,¼ cup Grated Pecorino Cheese
36,6,6 oz Bucatini Pasta
37,6,1 14-Ounce Can Datterini Tomatoes
38,6,2 cloves Garlic
39,6,2 Tbsps Butter
40,6,1 Tbsp Capers
41,6,1 lb Broccoli
42,6,¾ oz Grana Padano Cheese
43,6,1 oz Kalamata Olives
44,6,¼ tsp Crushed Red Pepper Flakes
45,6,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
46,7,8 Flour Tortillas
47,7,¾ cup Jasmine Rice 
