id,foreignkey,ingredients
,1,"4 Boneless, Skinless Chicken Breasts"
,1,1 Tbsp Ancho Chile Paste
,1,2 Tbsps Crème Fraîche
,1,3 Tbsps Golden Raisins
,2,4 oz Cremini Mushrooms 
,2,¾ lb Yukon Gold Potatoes
,3,1 Piece Focaccia Bread
,3,1 8-Ounce Can Tomato Sauce
,3,½ lb Fresh Mozzarella Cheese
,3,2 Clementines
,3,2 cloves Garlic
,3,2 Romaine Lettuce Hearts
,3,1 lb Broccoli
,3,1 oz Golden Or Red Sweet Piquante Peppers
,3,2 Tbsps Crème Fraîche
,3,1 Tbsp Dijon Mustard
,3,½ cup Basil & Cashew Pesto (Contains Pine Nuts)
,3,⅓ cup Shaved Parmesan Cheese
,3,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
,4,1½ lbs Pizza Dough
,4,3 cloves Garlic
,4,1 Romaine Lettuce Heart
,4,1 lb Broccoli
,4,1 cup Part-Skim Ricotta Cheese
,4,1 8-Ounce Can Tomato Sauce
,4,½ lb Fresh Mozzarella Cheese
,4,¼ cup Grated Parmesan Cheese
,4,2 oz Black Cerignola Olives
,4,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram) "
,4,1 Lemon
,5,2 Tbsps Crème Fraîche
,5,¼ tsp Crushed Red Pepper Flakes 
,5,3 Tbsps All-Purpose Flour 
,5,¼ cup Grated Pecorino Cheese
,6,6 oz Bucatini Pasta
,6,1 14-Ounce Can Datterini Tomatoes
,6,2 cloves Garlic
,6,2 Tbsps Butter
,6,1 Tbsp Capers
,6,1 lb Broccoli
,6,¾ oz Grana Padano Cheese
,6,1 oz Kalamata Olives
,6,¼ tsp Crushed Red Pepper Flakes
,6,"1 Tbsp Italian Seasoning (Whole Dried Basil, Sage, Oregano, Savory, Rosemary, Thyme, & Marjoram)"
,7,8 Flour Tortillas
,7,¾ cup Jasmine Rice 
,7,1 28-Ounce Can Whole Peeled Tomatoes
,7,4 oz Cremini Mushrooms
,7,3 cloves Garlic
,7,1 Yellow Onion
,7,1 bunch Chives
,7,2 Tbsps Ancho Chile Paste
,7,"1 Tbsp Mexican Spice Blend (Ancho Chile Powder, Sweet Paprika, Garlic Powder, Ground Cumin, & Whole Mexican Oregano)"
,7,½ lb White Cheddar Cheese
,7,½ cup Sour Cream
,8,21 oz Wild Alaskan Pollock Fillets
,8,2 Cage-Free Farm Eggs
,8,2 Tbsps Sweet Pickle Relish
,8,1 Romaine Lettuce Heart
,8,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley) "
,8,1¼ cups Panko Breadcrumbs
,8,¼ cup Creamy Mustard Sauce
,9,10 oz Chopped Chicken Breast
,9,1 head Baby Bok Choy
,9,¾ cup Jasmine Rice
,9,2 cloves Garlic
,9,1 Tbsp Rice Vinegar
,9,1 1-Inch Piece Ginger
,9,1 tsp Sriracha
,9,1 Tbsp Honey
,9,1 Tbsp Sesame Oil 
,9,¼ cup Cornstarch
,9,2 Tbsps Hoisin Sauce
,10,"4 Boneless, Center-Cut Pork Chops "
,10,2 Carrots
,10,1 bunch Chives
,10,2 Tbsps Tahini
,10,2 Tbsps Soy Sauce
,10,¾ lb Fresh Wonton Noodles
,10,2 tsps Sambal Oelek
,10,1 1-Inch Piece Ginger
,10,¼ cup Hoisin Sauce
,11,4 Skin-On Barramundi Fillets
,11,½ cup Plain Greek Yogurt
,11,1⅛ lbs Yukon Gold Potatoes 
,11,"1 Tbsp Za'atar Seasoning (Ground Sumac, Sesame Seeds, Salt, Ground Thyme, Whole Dried Oregano, & Crushed Aleppo Pepper)"
,12,4 Cage-Free Farm Eggs 
,12,1 cup Part-Skim Ricotta Cheese 
,12,1 Romaine Lettuce Heart 
,12,2 Tbsps Sliced Roasted Almonds
,12,"1 Tbsp Cajun Spice Blend (Smoked Paprika, Ground Yellow Mustard, Onion Powder, Garlic Powder, Whole Dried Oregano, Whole Dried Thyme, & Cayenne Pepper) "
,12,2 Tbsps Crème Fraîche
,13,4 Flour Tortillas 
,13,3 oz Radishes
,13,1 Orange 
,13,¾ lb Yukon Gold Potatoes 
,13,6 oz Cremini Mushrooms 
,13,1 Shallot 
,13,3 Tbsps Roasted Peanuts
,13,¼ cup Sour Cream
,13,1 oz Sliced Pickled Jalapeño Pepper
,13,"1 Tbsp Spanish Spice Blend (Smoked Paprika, Ground Cumin, Ground Coriander, Dried Mexican Oregano, Cayenne Pepper, & Ground Cinnamon) "
,13,1 Romaine Lettuce Heart 
,13,2 Tbsps Rice Vinegar
,14,"4 Boneless, Skinless Chicken Breasts "
,14,¼ cup All-Purpose Flour
,14,½ cup Grated Parmesan Cheese
,14,"1 Tbsp Weeknight Hero Spice Blend (Garlic Powder, Onion Powder, Smoked Paprika, & Whole Dried Parsley)
"
,15,2 Potato Buns 
,15,1 Sweet Potato 
,15,2 oz Cheddar Cheese
,15,1 oz Sweet Piquante Peppers 
,15,2 Tbsps Mayonnaise 
,15,"1 tsp Pimento Cheese Spice Blend (Garlic Powder, Ground Yellow Mustard, & Sugar)"
,16,¾ lb Yukon Gold Potatoes 
,16,10 oz Ground Pork Chorizo 
,16,2 Tbsps Crème Fraîche 
,16,2 Tbsps Grated Cotija Cheese
