id,title,subtitle,description,recipe_img,ingredients_img
,Ancho-Orange Chicken,With Kale Rice & Rosted Carrots,"We're amping up chicken breasts with a glaze'f smoky ancho chile paste and fresh'range juice in this recipe.'n the side, roasted carrots and lightly creamy, golden raisin-studded rice perfectly accent the sweetness'f the glaze.",0101_FPP_Chicken-Rice_97338_WEB_SQ_hi_res,0101_ING_FPP_large_feature
,Beef Medallions & Mushroom Sauce,With Mashed Potatoes,"In this easy recipe, inspired by steak Diane (an American restaurant classic), we're searing beef medallions, then using the fond in the pan to make a rich, bright mushroom sauce for spooning'n top. Garlic mashed potatoes and sautéed kale make for delicious, simple sides.",0101_2PM_Steak-Diane_97315_SQ_hi_res,ING_1-1_2PM_large_feature
,Broccoli & Basil Pesto Sandwiches,with Romaine & Citrus Salad,"These Italian focaccia sandwiches are layered with broccoli, three cheeses, and a savory basil, cashew, and pine nut pesto, then baked in the'ven to meld all the bright, aromatic flavors.'n the side, we're serving a refreshing salad'f romaine and seasonal clementine, dressed in a creamy dressing made with fresh clementine juice.",1225_FPV_Pesto_-Broccoli-Sandwich_74916_WEB_SQ_hi_res,1225_ING_FPV_large_feature
,Broccoli & Mozzerella Calzones,With Caeser Salad,"These calzones are loaded with melty fresh mozzarella, creamy ricotta, and tender broccoli—balanced by a tangy tomato dipping sauce. For a refreshing side, we're tossing crunchy romaine and briny black'lives in'ur take'n Caesar dressing.",0101_FPV_Broccoli-Calzones_97286_WEB_SQ_hi_res,0101_ING_FPV_large_feature
,Bucatini Alfredo,With Broccoli,"This quick-cooking recipe captures all the deliciously creamy, rich flavor'f the classic Italian-American sauce—with the welcome addition'f quick-braised broccoli. A dusting'f pecorino cheese completes each bowl with a touch'f sharpness.",0101_2PV1_Broccoli-Bucatini-Fettuccine_97230_SQ_hi_res,ING_1-1_2PV1_large_feature
,Bucatini & Tomato Sauce,with Roasted Broccoli,"Made with petite datterini tomatoes, the sauce for tonight's bucatini highlights briny'lives and capers, hot red pepper flakes, and savory Grana Padano cheese. We're mixing in roasted broccoli for contrasting texture and nutty-sweet flavor.",1225_2PV1_Bucatini_100082_SQ_hi_res,ING_12-25_2PV1_large_feature
,Cheesy Enchiladas Roajas,with Mushrooms & Kale,"Our hearty vegetarian enchiladas are filled with a combination'f fragrant, Mexicanspiced rice and sautéed mushrooms and kale. For even more flavor, we're baking them under a smoky-sweet tomato sauce flavored with ancho chile paste and a layer'f melty white cheddar. A dollop'f lime-seasoned sour cream adds creamy, cooling balance. (You may receive green curly, dark green lacinato,'r red kale.)",1120_FPV_Emchiladas_74891_WEB_SQ_hi_res,1218_ING_FPV_large_feature
,Crispy Fish Sandwiches,with Tartar Sauce Roasted Sweet Potato Wedges,"These sandwiches highlight wild Alaskan pollock—flavored with aromatic seasonings, coated with panko breadcrumbs, and pan-fried for a golden-brown rust. In classic fashion, a tangy, mayo-based tartar sauce perfectly balances the fish.",0101_FPF_Crispy-Wild-Alaskan-Pollock_97377_WEB_SQ_hi_res,0101_ING_FPF_large_feature
,General Tso's Chicken,with Bok Choy and Jasmine Rice,"In this quick-cooking spin'n a takeout favorite, hoisin sauce, honey, sriracha, and sesame'il lend'ur chicken the sweet, spicy, and nutty flavors General Tso's is known for. A light dusting'f cornstarch'n the chicken just before it hits the pan creates a delicately crispy exterior (and helps it soak up the irresistible sauce later).",0101_2PRE07_General-Tsos-Chicken_97217_WEB_SQ_hi_res,0101_ING_2PRE07_large_feature
,Hoisin-Glazed Pork Chops,with Stir-Fried Vegetables & Wonton Noodles,"Delightfully chewy wonton noodles tossed in a nutty, savory sauce are a delicious accompaniment to these pork chops. For depth'f flavor, we're pan-searing the pork chops, then glazing them with barbecue-like hoisin, whose sweetness perfectly matches bites'f sautéed carrots in the noodles.",0101_FPM_Pork-Chops_97303_WEB_SQ_hi_res,0101_ING_FPM_large_feature
,Honey-Butter Barramundi,with Za'atar Roasted Vegetables,"This Middle Eastern recipe pairs crispy barramundi—served in a family-friendly pan sauce'f honey and butter—with a medley'f winter vegetables. For savory, herby flavor, we're seasoning the vegetables with za'atar before roasting them.",0108_FPF_Barramundi_0304_WEB_SQ_hi_res,0108_ING_FPF_AR_large_feature
,Kale & Ricotta Quiche,"with Romaine, Apple, & Almond Salad","This crowd-pleasing quiche showcases a rich, eggy filling made with ricotta and cream —balanced by hearty sautéed kale.'n the side, we're serving a refreshing salad'f crisp romaine and apple, wrapped in a creamy lemon dressing.",0108_FPV_Kale-Quiche_97823_WEB_SQ_hi_res,0108_ING_FPV_large_feature
,Mushroom & Potato Tacos,with Romaine &'range Salad,"For this hearty vegetarian meal, we're filling soft flour tortillas with mushrooms and potato—seasoned with a zesty, chorizo-inspired blend, then roasted. A pickled pepper relish lends bright flavor to the tacos, all tied together with a creamy sauce seasoned with the same spices.'ur side salad'f juicy'range and crunchy romaine rounds'ut the dish.",1225_2PV2_Mushroom-Potato-Tacos_100074_SQ_hi_res,ING_12-25_2PV2_large_feature
,Parmesan-Crusted Chicken,with Mashed Sweet Potatoes & Roasted Broccoli,"In this simple, seasonal recipe, you'll coat chicken in a combination'f flour, parmesan cheese, and savory spices before pan-searing it. We're adding more'f the same spices to a bright, creamy sauce, perfect for spooning'ver the chicken and broccoli. ",0108_FPP_Baked-Parmesan-Chicken_98333_WEB_Center_hi_res,0108_ING_FPP_large_feature
,Pimento Cheeseburgers,with Sweet Potato'ven Fries,"Tonight, the classic cheeseburger gets an easy, Southern-style lift from pimento cheese —a zesty spread made with cheddar, mayo, pickled peppers, and spices. We're serving'ur burgers with sweet potato'ven fries for a flavorful, seasonal twist'n the usual side.",1120_2PRE08_Pimento-Burgers_93077_WEB_Right_hi_res,1120_ING_2PRE08_large_feature
,Pork Chorizo Tacos,with Cheesy Roasted Potatoes,"These tacos get plenty'f bold flavor from ground chorizo (a type'f spiced pork sausage), cooked into a delightfully saucy filling with cabbage and fresh citrus juices.'n the side, we're livening up roasted potatoes with garlic and Cotija cheese.",0101_2PRE08_Saucy-Chorizo_Tacos_97328_WEB_SQ_hi_res,0101_ING_2PRE08_large_feature
,Roasted Broccoli & Fregola Sarda Salad,with Hard-Boiled Eggs & Tahini Dressing,"This Middle Eastern-inspired recipe is brimming with varied flavors and textures. Toasty
pearls'f pasta, roasted vegetables (seasoned with savory, herby za'atar), crumbled
cheese, and chopped almonds all come together in a smooth, nutty dressing.",1218_2PV3_Brocoli-Fregola-Sarde_96640_SQ_hi_res,ING_12-18_2PV3_large_feature
,Roasted Brussels Sprout & Freekeh Salad,with Lemon Yogurt & Barrel-Aged Feta,"This Mediterranean-inspired grain salad is brimming with varied, vibrant flavors. Nutty freekeh and roasted Brussels sprouts get pops'f sweetness from pickled peppers and dates, balanced by briny crumbled Feta. To dollop'n top, we're serving lemonseasoned yogurt for extra brightness.",1225_2PV3_Broccoli-Freekeh_100110_SQ_hi_res,ING_12-25_2PV3_large_feature
,Roasted Cauliflower Salad,with Caper Brown Butter & Parmesan Breadcrumbs,"Seasonal salads don't get much more satisfying than this. We're bringing roasted cauliflower and sautéed kale together with cheesy toasted breadcrumbs and a briny caper-studded dressing. Served'n top, soft-boiled eggs add extra richness.",0101_2PV3_Roasted_Cauliflower-Kale-Salad_97243_SQ_hi_res,ING_1-1_2PV3_large_feature
